ChemkinName	ChemicalFormula	MolecularWeight	Radius	Diffusivity	AbrahamS	AbrahamB	AbrahamE	AbrahamL	AbrahamA	AbrahamV	ChemkinName

SPC(1)	C16H26	218.0	6.994593704807919E-10	1.1067872775309897E-9	0.502	0.144	0.552	7.755999999999998	0.0030	212.53999999999934	SPC(1)
SPC(2)	C11H24	156.0	6.321494713620493E-10	1.2246355766618952E-9	0.12700000000000003	0.08499999999999999	0.04000000000000001	5.263	0.0030	165.84999999999962	SPC(2)
SPC(3)	C13H28	184.0	6.663339290589995E-10	1.161808964900284E-9	0.12700000000000003	0.08499999999999999	0.04000000000000001	6.260999999999999	0.0030	194.0299999999994	SPC(3)
SPC(4)	C11H10	142.0	5.966300072374837E-10	1.2975424015001485E-9	0.8440000000000001	0.20399999999999996	1.2880000000000003	5.691	0.0030	122.62999999999994	SPC(4)
SPC(5)	C16H34	226.0	7.118380296114519E-10	1.0875405642777155E-9	0.12700000000000003	0.08499999999999999	0.04000000000000001	7.757999999999998	0.0030	236.29999999999978	SPC(5)
O2(6)	O2	32.0	2.752210180206535E-10	2.8128401601213485E-9	1.017	0.739	0.16599999999999998	1.12	0.0030	18.3	O2(6)
SPC(7)	C19H40	268.0	7.521603549441157E-10	1.029238947930849E-9	0.12700000000000003	0.08499999999999999	0.04000000000000001	9.254999999999999	0.0030	278.5700000000013	SPC(7)
SPC(8)	C21H44	296.0	7.768068435401517E-10	9.965833061793321E-10	0.12700000000000003	0.08499999999999999	0.04000000000000001	10.253	0.0030	306.7500000000023	SPC(8)
HO2J(43)	HO2J	33.0	4.005623336232731E-10	1.932664824960957E-9	0.771	0.6849999999999999	0.37	1.4740000000000002	0.693	20.450000000000003	HO2J(43)
SPC(17)	C16H25J	217.0	6.994593704807919E-10	1.1067872775309897E-9	0.502	0.144	0.552	7.755999999999998	0.0030	210.38999999999936	SPC(17)
C11H9J(66)	C11H9J	141.0	5.966300072374837E-10	1.2975424015001485E-9	0.8440000000000001	0.20399999999999996	1.2880000000000003	5.691	0.0030	120.47999999999996	C11H9J(66)
SPC(117)	C16H25O2J	249.0	7.162775235226939E-10	1.0807999790230024E-9	0.9700000000000003	0.673	0.7160000000000001	8.737999999999998	0.348	222.12999999999937	SPC(117)
SPC(120)	C16H26O2	250.0	7.162775235226939E-10	1.0807999790230024E-9	0.9700000000000001	0.6729999999999999	0.716	8.737999999999998	0.348	224.2799999999994	SPC(120)
SPC(136)	C11H9O2J	173.0	6.194779185588068E-10	1.2496857582898421E-9	1.3510000000000004	0.7150000000000001	1.4670000000000003	6.901	0.348	132.21999999999986	SPC(136)
SPC(137)	C11H10O2	174.0	6.194779185588068E-10	1.2496857582898421E-9	1.351	0.7149999999999999	1.4670000000000003	6.901	0.348	134.36999999999995	SPC(137)
