Time,O2(1),n-C11(2),n-C13(3),Mnphtln(4),n-C16(5),C10bnzn(6),n-C19(7),n-C21(8),HO2J(9),SPC(42),SPC(116),SPC(119),SPC(118),H2O2(101),C11H9J(30),SPC(205),SPC(208),SPC(180),SPC(248),SPC(262),SPC(255),SPC(265),T,P,nothing
0.0,6.25262975643e-05,0.0305279682285,0.144027506158,0.0594800463859,0.22112619503,0.219156332442,0.209774405891,0.115845019567,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,423.000000,21075600.000000,0
1.0,6.25262975643e-05,0.0305279682285,0.144027506158,0.0594800463859,0.22112619503,0.219156332438,0.20977440589,0.115845019567,1.43854380795e-14,4.85226184791e-19,6.94857095534e-18,4.12781884745e-12,1.71859793704e-13,1.8885402563e-14,8.06995077892e-22,7.32205441399e-21,4.35656134655e-15,2.13279581291e-31,3.05077511946e-30,9.08216044066e-25,3.04695029491e-30,9.0707739464e-25,423.000000,21075600.000000,0
5.0,6.25262975636e-05,0.0305279682282,0.144027506157,0.0594800463852,0.221126195028,0.219156332366,0.209774405888,0.115845019566,7.15562883278e-14,2.09823001204e-18,3.00479736985e-17,7.97514004016e-11,3.32040790896e-12,4.71206909079e-13,3.48782367173e-21,3.16466241467e-20,8.41473560001e-14,1.78180920533e-29,2.54875574513e-28,3.38257254118e-22,2.54556026857e-28,3.37833169429e-22,423.000000,21075600.000000,0
10.0,6.25262975618e-05,0.0305279682273,0.144027506152,0.0594800463832,0.221126195022,0.219156332153,0.209774405882,0.115845019563,1.40848709604e-13,4.05917583778e-18,5.81342378442e-17,3.05242315493e-10,1.27086033005e-11,1.87204893438e-12,6.73710907634e-21,6.11333823719e-20,3.21820720467e-13,1.31920025757e-28,1.88709521938e-27,4.95484931306e-21,1.88472920553e-27,4.94863709513e-21,423.000000,21075600.000000,0
60.0,6.25262974959e-05,0.0305279681951,0.144027506001,0.0594800463137,0.221126194788,0.219156324543,0.209774405661,0.115845019441,5.13803849908e-13,1.5404206144e-17,2.21167141711e-16,8.35002236147e-09,3.47648995915e-10,5.29311377758e-11,2.42335358138e-20,2.20463883996e-19,8.56989859579e-12,1.36501604108e-26,1.9550772139e-25,3.69963100414e-18,1.95262290265e-25,3.69498861786e-18,423.000000,21075600.000000,0
300.0,6.25262969081e-05,0.0305279679081,0.144027504647,0.0594800457059,0.22112619271,0.219156256656,0.209774403689,0.115845018352,5.64352624848e-13,2.482258955e-17,3.61523976472e-16,8.01217923407e-08,3.33583436306e-09,5.1014545189e-10,2.6681024916e-20,2.4716019921e-19,6.74240684643e-11,2.07089048805e-25,2.98754089424e-24,3.35843221637e-16,2.98376344396e-24,3.35419527197e-16,423.000000,21075600.000000,0
600.0,6.25262957628e-05,0.0305279673489,0.144027502008,0.059480044555,0.221126188659,0.219156124328,0.209774399847,0.11584501623,5.64269994586e-13,4.02293212443e-17,5.9272707269e-16,2.20023751974e-07,9.16059588431e-09,1.40142797212e-09,2.68247102995e-20,2.54068708113e-19,1.4183284608e-10,9.07184934185e-25,1.31645437974e-23,2.49709663546e-15,1.31478008527e-23,2.49392966083e-15,423.000000,21075600.000000,0
900.0,6.25262939075e-05,0.0305279664431,0.144027497735,0.0594800427282,0.221126182098,0.219155909916,0.209774393622,0.115845012792,5.6413581082e-13,6.51729270071e-17,9.67051872687e-16,4.46709843086e-07,1.85985824451e-08,2.84559335761e-09,2.7055922047e-20,2.61813640443e-19,2.1674703503e-10,2.95447004531e-24,4.30271867334e-23,1.01852597081e-14,4.29722682532e-23,1.01722921503e-14,423.000000,21075600.000000,0
1200.0,6.25262909032e-05,0.0305279649763,0.144027490814,0.0594800398077,0.221126171473,0.219155562652,0.209774383543,0.115845007226,5.63918734255e-13,1.05530405321e-16,1.57269655729e-15,8.13854035046e-07,3.38844780046e-08,5.18458681247e-09,2.7428618414e-20,2.7091291368e-19,2.92479219555e-10,8.66265254178e-24,1.26430087439e-22,3.35521508887e-14,1.26268367457e-22,3.3509316902e-14,423.000000,21075600.000000,0
2400.0,6.25262450204e-05,0.0305279425743,0.144027385125,0.05947999589,0.221126009207,0.219150258142,0.209774229607,0.115844922217,5.60635741589e-13,7.16600234341e-16,1.07433401667e-14,6.42207689742e-06,2.673777561e-07,4.09133460447e-08,3.30469090878e-20,3.46984607534e-19,6.19516758013e-10,4.60226343505e-22,6.73312299965e-21,2.06254278544e-12,6.72448945433e-21,2.05989869092e-12,423.000000,21075600.000000,0
