ChemkinName	ChemicalFormula	MolecularWeight	Radius	Diffusivity	AbrahamS	AbrahamB	AbrahamE	AbrahamL	AbrahamA	AbrahamV	ChemkinName

O2(1)	O2	32.0	2.752210180206535E-10	2.8128401601213485E-9	1.017	0.739	0.16599999999999998	1.12	0.0030	18.3	O2(1)
n-C11(2)	C11H24	156.0	6.321494713620493E-10	1.2246355766618952E-9	0.12700000000000003	0.08499999999999999	0.04000000000000001	5.263	0.0030	165.84999999999962	n-C11(2)
n-C13(3)	C13H28	184.0	6.663339290589995E-10	1.161808964900284E-9	0.12700000000000003	0.08499999999999999	0.04000000000000001	6.260999999999999	0.0030	194.0299999999994	n-C13(3)
Mnphtln(4)	C11H10	142.0	5.966300072374837E-10	1.2975424015001485E-9	0.8440000000000001	0.20399999999999996	1.2880000000000003	5.691	0.0030	122.62999999999994	Mnphtln(4)
n-C16(5)	C16H34	226.0	7.118380296114519E-10	1.0875405642777155E-9	0.12700000000000003	0.08499999999999999	0.04000000000000001	7.757999999999998	0.0030	236.29999999999978	n-C16(5)
C10bnzn(6)	C16H26	218.0	6.994593704807919E-10	1.1067872775309897E-9	0.502	0.144	0.552	7.755999999999998	0.0030	212.53999999999934	C10bnzn(6)
n-C19(7)	C19H40	268.0	7.521603549441157E-10	1.029238947930849E-9	0.12700000000000003	0.08499999999999999	0.04000000000000001	9.254999999999999	0.0030	278.5700000000013	n-C19(7)
n-C21(8)	C21H44	296.0	7.768068435401517E-10	9.965833061793321E-10	0.12700000000000003	0.08499999999999999	0.04000000000000001	10.253	0.0030	306.7500000000023	n-C21(8)
HO2J(9)	HO2J	33.0	4.005623336232731E-10	1.932664824960957E-9	0.771	0.6849999999999999	0.37	1.4740000000000002	0.693	20.450000000000003	HO2J(9)
SPC(42)	C16H25J	217.0	6.994593704807919E-10	1.1067872775309897E-9	0.502	0.144	0.552	7.755999999999998	0.0030	210.38999999999936	SPC(42)
SPC(117)	C16H25O2J	249.0	7.162775235226939E-10	1.0807999790230024E-9	0.9700000000000003	0.673	0.7160000000000001	8.737999999999998	0.348	222.12999999999937	SPC(117)
SPC(120)	C16H26O2	250.0	7.162775235226939E-10	1.0807999790230024E-9	0.9700000000000001	0.6729999999999999	0.716	8.737999999999998	0.348	224.2799999999994	SPC(120)
H2O2(101)	H2O2	34.0	4.005623336232731E-10	1.932664824960957E-9	0.771	0.6849999999999999	0.37	1.4740000000000002	0.693	22.6	H2O2(101)
SPC(119)	C16H24	216.0	6.790759572299266E-10	1.140009043400512E-9	0.602	0.16599999999999998	0.6880000000000001	7.695999999999997	0.0030	208.23999999999938	SPC(119)
C11H9J(30)	C11H9J	141.0	5.966300072374837E-10	1.2975424015001485E-9	0.8440000000000001	0.20399999999999996	1.2880000000000003	5.691	0.0030	120.47999999999996	C11H9J(30)
SPC(206)	C11H9O2J	173.0	6.194779185588068E-10	1.2496857582898421E-9	1.3510000000000004	0.7150000000000001	1.4670000000000003	6.901	0.348	132.21999999999986	SPC(206)
SPC(209)	C11H10O2	174.0	6.194779185588068E-10	1.2496857582898421E-9	1.351	0.7149999999999999	1.4670000000000003	6.901	0.348	134.36999999999995	SPC(209)
O2JJ(102)	O2JJ	32.0	4.005623336232731E-10	1.932664824960957E-9	0.771	0.6849999999999999	0.37	1.4740000000000002	0.693	18.3	O2JJ(102)
SPC(158)	C16H25O2J	249.0	7.162775235226939E-10	1.0807999790230024E-9	0.9700000000000003	0.673	0.7160000000000001	8.737999999999998	0.348	222.12999999999937	SPC(158)
SPC(250)	C16H25O4J	281.0	7.368430669855684E-10	1.0506344798289835E-9	1.4380000000000002	1.201999999999999	0.88	9.72	0.693	233.8699999999996	SPC(250)
SPC(255)	C16H26O4	282.0	7.368430669855684E-10	1.0506344798289835E-9	1.4380000000000002	1.2020000000000002	0.8800000000000001	9.719999999999997	0.693	236.01999999999947	SPC(255)
SPC(32)	C16H33J	225.0	7.118380296114519E-10	1.0875405642777155E-9	0.12700000000000003	0.08499999999999999	0.04000000000000001	7.757999999999998	0.0030	234.1499999999997	SPC(32)
SPC(335)	C16H33O2J	257.0	7.326504247987865E-10	1.0566468075284159E-9	0.595	0.614	0.20400000000000001	8.739999999999998	0.348	245.89000000000016	SPC(335)
SPC(339)	C16H34O2	258.0	7.326504247987865E-10	1.0566468075284159E-9	0.595	0.614	0.20400000000000001	8.739999999999998	0.348	248.0399999999999	SPC(339)
SPC(152)	C16H25O2J	249.0	7.162775235226939E-10	1.0807999790230024E-9	0.9700000000000003	0.673	0.7160000000000001	8.737999999999998	0.348	222.12999999999937	SPC(152)
SPC(431)	C16H25O4J	281.0	7.368430669855684E-10	1.0506344798289835E-9	1.4380000000000002	1.201999999999999	0.88	9.72	0.693	233.8699999999996	SPC(431)
SPC(435)	C16H26O4	282.0	7.368430669855684E-10	1.0506344798289835E-9	1.4380000000000002	1.2020000000000002	0.8800000000000001	9.719999999999997	0.693	236.01999999999947	SPC(435)
